Localidad,Link Indec,Total_Conections,latitud,longitud,provincia_nombre,provincia_id,municipio_nombre,municipio_id,departamento_nombre,departamento_id,localidad_censal_nombre,localidad_censal_id
12 de Octubre,06588030,11.0,-35.607730780146,-60.9182929927645,Buenos Aires,06,9 de Julio,060588,9 de Julio,06588,12 de Octubre,06588030
25 de Mayo,06854100,2246.965,-35.4339385892588,-60.1731209454056,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,25 de Mayo,06854100
9 de Julio,06588100,1612.2060000000001,-35.4447435053964,-60.8843433362719,Buenos Aires,06,9 de Julio,060588,9 de Julio,06588,9 de Julio,06588100
Adolfo Gonzales Chaves  (Est. Chaves),06014010,766.045,,,,,,,,,,
Adrogué,06028010,2558.557,-34.8015580737331,-58.3914677191541,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Agustín Mosconi,06854010,59.0,-35.7392169542026,-60.5590634621789,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Agustín Mosconi,06854010
Alberti   (Est. Andrés Vaccarezza),06021010,471.0,,,,,,,,,,
Alfredo Demarchi  (Est. Facundo Quiroga),06588010,510.0,,,,,,,,,,
Arrecifes,06077010,2703.3810000000003,-34.064591121211,-60.1025564443537,Buenos Aires,06,Arrecifes,060077,Arrecifes,06077,Arrecifes,06077010
Avellaneda,06035010,2972.53,-34.6626508059016,-58.3656990232718,Buenos Aires,06,Avellaneda,060035,Avellaneda,06035,Avellaneda,06035010
Burzaco,06028010,1819.6170000000002,-34.8315415891783,-58.3986874871405,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Carhué,06007010,1251.231,-37.1774801030509,-62.7578962604015,Buenos Aires,06,Adolfo Alsina,060007,Adolfo Alsina,06007,Carhué,06007010
Claypole,06028010,1049.438,-34.8044759080477,-58.3447825531042,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Colonia San Miguel Arcángel,06007020,208.0,-37.4486186469627,-63.117609405389,Buenos Aires,06,Adolfo Alsina,060007,Adolfo Alsina,06007,Colonia San Miguel Arcángel,06007020
Crucesita,06035010,877.2470000000001,-34.66910587351,-58.3574544412345,Buenos Aires,06,Avellaneda,060035,Avellaneda,06035,Avellaneda,06035010
De la Garma,06014020,717.0,-37.9635021758562,-60.415659383962,Buenos Aires,06,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014,De La Garma,06014020
Del Valle,06854020,192.0,-35.8973453887603,-60.7316089512944,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Del Valle,06854020
Dock Sud,06035010,913.309,-34.6491266928534,-58.3411774769136,Buenos Aires,06,Avellaneda,060035,Avellaneda,06035,Avellaneda,06035010
Don Orione,06028010,814.0899999999999,-34.8210751643113,-58.3447457989957,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Dudignac,06588040,378.0,-35.6511928511123,-60.7098962799094,Buenos Aires,06,9 de Julio,060588,9 de Julio,06588,Dudignac,06588040
Ernestina,06854030,66.0,-35.2702340519789,-59.5575034078873,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Ernestina,06854030
Esteban Agustín Gascón,06007050,60.0,-37.4544378016288,-63.2565950033782,Buenos Aires,06,Adolfo Alsina,060007,Adolfo Alsina,06007,Esteban Agustín Gascón,06007050
Gerli,06035010,1508.584,-34.6847637540553,-58.3726025503412,Buenos Aires,06,Avellaneda,060035,Avellaneda,06035,Avellaneda,06035010
Glew,06028010,1387.631,-34.8860114180413,-58.3818301842512,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Gobernador Ugarte,06854040,181.0,-35.1643973648093,-60.0813577815069,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Gobernador Ugarte,06854040
Jose Mármol,06028010,986.942,-34.7851442510713,-58.3681475603787,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Juan E. Barra,06014030,46.0,-37.8233871716044,-60.484639770555,Buenos Aires,06,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014,Juan E. Barra,06014030
Longchamps,06028010,1501.945,-34.8609450255718,-58.3891476922426,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Lucas Monteverde,06854050,6.0,-35.4838272164734,-59.9880647932831,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Lucas Monteverde,06854050
Malvinas Argentinas,06028010,580.652,-34.8189583169642,-58.4235610606239,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Manuel B. Gonnet  (Est. French),06588060,203.0,,,,,,,,,,
Maza,06007070,406.0,-36.7999468137731,-63.3385151506224,Buenos Aires,06,Adolfo Alsina,060007,Adolfo Alsina,06007,Maza,06007070
Mechita,06021030,285.0,-35.068013673391,-60.4025971632697,Buenos Aires,06,Alberti,060021,Alberti,06021,Mechita,06021030
Ministro Rivadavia,06028010,569.428,-34.8556895005541,-58.361646542791,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Norberto de la Riestra,06854060,1282.0,-35.2727788695321,-59.7719327250509,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Norberto de la Riestra,06854060
OTROS,0Sin Datos,13.0,,,,,,,,,,
Patricios,06588110,81.0,-35.4395526972374,-60.7174384712323,Buenos Aires,06,9 de Julio,060588,9 de Julio,06588,Patricios,06588110
Pedernales,06854070,575.0,-35.2666085074294,-59.6306574695384,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Pedernales,06854070
Pineyro,06035010,1305.012,,,,,,,,,,
Rafael Calzada,06028010,2008.076,-34.7911367513318,-58.350598184222,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Rivera,06007080,48.155,-37.1583546113813,-63.2442194943605,Buenos Aires,06,Adolfo Alsina,060007,Adolfo Alsina,06007,Rivera,06007080
San Enrique,06854080,97.0,-35.7785028686085,-60.3546454811901,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,San Enrique,06854080
San Francisco Solano,06028010,613.775,-34.7866743578473,-58.3219363521574,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
San Jose,06028010,1370.458,-34.7673771924196,-58.3432771404358,Buenos Aires,06,Almirante Brown,060028,Almirante Brown,06028,Almirante Brown,06028010
Todd,06077020,291.0,-34.0328240475348,-60.1562270065746,Buenos Aires,06,Arrecifes,060077,Arrecifes,06077,Todd,06077020
Valdés,06854090,166.0,-35.6488128268597,-60.4672591673156,Buenos Aires,06,25 de Mayo,060854,25 de Mayo,06854,Valdés,06854090
Villa General Fournier  (Est. 9 de Julio Sud),06588120,160.0,,,,,,,,,,
Viña,06077030,110.0,,,,,,,,,,
Vásquez,06014040,14.0,-38.1766861391835,-60.1708487303777,Buenos Aires,06,Adolfo Gonzales Chaves,060014,Adolfo Gonzales Chaves,06014,Vásquez,06014040
